human_readable_id,uuid,question_text
1,97101884-3bc5-4d18-851b-d3f796755816,"Please select your preferred language:"
2,918988f3-ca24-411b-8091-0bb524e8cd40,"How old are you?"
3,7bd1c2d3-fe51-4d20-947b-7e258cf27ded,"What is your gender?"
4,98682df5-bd78-40fb-afbb-676d369b74f1,"What best describes where you live?"
5,f932063f-700c-4327-9c34-59b7c3e19190,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…"
6,1e2ffbb1-1f04-486f-849d-dceb22eb6df6,"What religious group or faith do you most identify with?"
7,074a34ab-92f8-4c30-bac0-59c9850802cb,"What country or region do you most identify with?"
8,,"Welcome to this conversation where we will ask you to think about and share about your values, your culture, and your desires for the future."
9,,"Participants in this conversation come from all over the world, and you have been invited to participate as a representative of your community. Your responses and votes will influence how AI technology built around the world is developed, governed, and aligned."
10,,"The results from this conversation will be shared with national governments and the United Nations, as well as be used to develop public evaluations for AI models. We ask that you participate thoughtfully and honestly to help us ensure the future you get is a future you want."
11,,"Lastly, please respond in the language you selected as you entered this conversation. This will help ensure your responses are correctly translated so participants who speak different languages can vote on them. Let's begin."
12,ae768935-002f-49e2-b08f-92c7616b0533,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?"
13,926a5461-6a68-43c9-8279-94430dc9323e,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?"
14,1ebc80e1-d3e2-4dc5-987c-e4d637cf6bec,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?"
15,3c74ec68-77f6-46a5-9918-0c8e97fb7bc8,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?"
16,47cdf76a-9abf-4b5c-abbe-2d5b00ef172d,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system in your personal life?"
17,d633720f-a159-4922-925c-fd9f3245711e,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?"
18,8b361c6c-eb59-415b-8536-7f80713c3e5e,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?"
19,91fcb570-ec08-458e-af99-d9df0650384a,"What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?"
20,d1baeb26-baca-414f-91f6-72b023c02a65,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?"
21,8c50a77a-3fc2-49ce-b568-b7832c9b99e0,"Considering both potential benefits and risks, how do you assess the overall impact on society of social media apps?"
22,30324a2e-b5b2-4e0a-a8f2-af599b55c40e,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI chatbots?"
23,4f234e17-2d57-4709-b29a-4a2909683566,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can perform tasks in the real world without human supervision?"
24,96ccfd7b-8f99-4d0a-b700-9fd835e23bd8,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can outperform humans on most economically valuable work?"
25,b1869877-1015-43ec-9645-84bf2db39c6f,"To what extent, if at all, do you generally trust governments to do what is right?"
26,dc5e8d2a-c20b-47fa-89e2-b4db635a8ad4,"To what extent, if at all, do you generally trust small businesses to do what is right?"
